# Created 3 Jul 2023 17:18:21 from Pseudomonas_aeruginosa_PAO1.xml
# Exclude:  EX/DM  EX reversals  non-reversible reactions
# Costs: ( gpa 1 no_gpa 5 ) + ( no_rev 0 rev 1 bad_rev 5 )
MET M_2agpg140_c	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)"
MET M_2agpg141_c	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)"
MET M_2agpg160_c	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)"
MET M_2agpg161_c	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)"
MET M_2agpg180_c	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)"
MET M_2agpg181_c	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)"
MET M_2ahbut_c	"(S)-2-Aceto-2-hydroxybutanoate"
MET M_2ahhmd_c	"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate"
MET M_2ahhmp_c	"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine"
MET M_2ameph_c	"(2-Aminoethyl)phosphonate"
MET M_2c25dho_c	"2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate"
MET M_2c4mthzep_c	"2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate"
MET M_2cmcnt_c	"2-Chloro-cis,cis-muconate"
MET M_2cpr5p_c	"1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate"
MET M_2dda7p_c	"2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate"
MET M_2ddecg3p_c	"2-dodecanoyl-sn-glycerol 3-phosphate"
MET M_2ddg6p_c	"2-Dehydro-3-deoxy-D-gluconate 6-phosphate"
MET M_2ddglcn_c	"2-Dehydro-3-deoxy-D-gluconate"
MET M_2ddpent_c	"2-Dehydro-3-deoxy-L-pentonate"
MET M_2dglcn_c	"2-Deoxy-D-gluconate"
MET M_2dh3dgal6p_c	"2-Dehydro-3-deoxy-D-galactonate 6-phosphate"
MET M_2dhglcn_c	"2-Dehydro-D-gluconate"
MET M_2dhp_c	"2-Dehydropantoate"
MET M_2dmmq8_c	"2-Demethylmenaquinone 8"
MET M_2dmmql8_c	"2-Demethylmenaquinol 8"
MET M_2do5hmc5dp_c	"2-Deoxy-5-hydroxymethylcytidine-5-diphosphate"
MET M_2do5hmc5tp_c	"2-Deoxy-5-hydroxymethylcytidine-5-triphosphate"
MET M_2dr1p_c	"2-Deoxy-D-ribose 1-phosphate"
MET M_2fmcnt_c	"2-Fluoro-cis,cis-muconate"
MET M_2h3oppan_c	"2-Hydroxy-3-oxopropanoate"
MET M_2hb_c	"2-Hydroxybutyrate"
MET M_2hdec9eg3p_c	"2-hexadec-9-enoyl-sn-glycerol 3-phosphate"
MET M_2hdecg3p_c	"2-hexadecanoyl-sn-glycerol 3-phosphate"
MET M_2hdhgstn_c	"2-Hydroxy-2,3-dihydrogenistein"
MET M_2hh24dd_c	"2-Hydroxyhepta-2-4-dienedioate"
MET M_2hhmbaldh_c	"2-Hydroxy-4-hydroxymethyl-benzaldehyde"
MET M_2hmnp_c	"2-Hydroxymethylnaphthalene"
MET M_2hyoxplac_c	"2-Hydroxyphenylacetate"
MET M_2hyoxplac_e	"2-Hydroxyphenylacetate"
MET M_2hyoxplac_p	"2-Hydroxyphenylacetate"
MET M_2ippm_c	"2-Isopropylmaleate"
MET M_2kmb_c	"2-keto-4-methylthiobutyrate"
MET M_2m1hbtpp_c	"2-Methyl-1-hydroxybutyl-TPP"
MET M_2m1hptpp_c	"2-Methyl-1-hydroxypropyl-TPP"
MET M_2maacoa_c	"2-methylacetoacetyl-CoA(4-)"
MET M_2mahmp_c	"2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate"
MET M_2mb2coa_c	"2-methylcrotonoyl-CoA(4-)"
MET M_2mbcoa_c	"2-methylbutanoyl-CoA(4-)"
MET M_2mbutACP_c	"2-methylbutanoyl-ACP,2-methylbutyryl-ACP"
MET M_2mcacn_c	"(Z)-but-2-ene-1,2,3-tricarboxylate"
MET M_2mcit_c	"2-methylcitrate(3-)"
MET M_2me4p_c	"2-C-methyl-D-erythritol 4-phosphate"
MET M_2mecdp_c	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate"
MET M_2miphd_c	"cis-2-Methyl-5-isopropylhexa-2,5-dienal"
MET M_2miphdnt_c	"cis-2-Methyl-5-isopropylhexa-2,5-dienoic acid"
MET M_2mnptl_c	"2-Methylnaphthalene"
MET M_2mop_c	"2-methyl-3-oxopropanoate"
MET M_2mp2coa_c	"2-Methylprop-2-enoyl-CoA"
MET M_2mpdhl_c	"S-(2-Methylpropanoyl)-dihydrolipoamide"
MET M_2mpropACP_c	"2-methylpropionyl-ACP,isobutyryl-ACP"
MET M_2naldh_c	"2-Naphthaldehyde"
MET M_2obut_c	"2-Oxobutanoate"
MET M_2oc_c	"2-Oxocarboxylate"
MET M_2odec11eg3p_c	"2-octadec-11-enoyl-sn-glycerol 3-phosphate"
MET M_2odecg3p_c	"2-octadecanoyl-sn-glycerol 3-phosphate"
MET M_2oh_c	"Secondary alcohol"
MET M_2ohed_c	"2-Oxohept-3-ene-1,7-dioate"
MET M_2ohph_c	"2-Octaprenyl-6-hydroxyphenol"
MET M_2ombz_c	"2-Octaprenyl-6-methoxy-1,4-benzoquinone"
MET M_2ombzl_c	"2-Octaprenyl-6-methoxy-1,4-benzoquinol"
MET M_2omhmbl_c	"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol"
MET M_2ommb_c	"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone"
MET M_2ommbl_c	"2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol"
MET M_2omph_c	"2-Octaprenyl-6-methoxyphenol"
MET M_2oph_c	"2-Octaprenylphenol"
MET M_2p4c2me_c	"2-phospho-4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol"
MET M_2pg_c	"D-Glycerate 2-phosphate"
MET M_2pglyc_c	"2-phosphonatoglycolate(3-)"
MET M_2phpdmcmt_c	"2-Phenyl-1,3-propanediol monocarbamate"
MET M_2shchc_c	"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"
MET M_2tdec7eg3p_c	"2-tetradec-7-enoyl-sn-glycerol 3-phosphate"
MET M_2tdecg3p_c	"2-tetradecanoyl-sn-glycerol 3-phosphate"
MET M_2xchccoa_c	"2-Oxocyclohexane-1-carbonyl-CoA"
MET M_33hmeoxobut_c	"2-Oxo-3-hydroxyisovalerate"
MET M_34dchlanln_c	"3,4-Dichloroaniline"
MET M_34dchlphem_c	"N-(3,4-Dichlorophenyl)-malonamate"
MET M_34dh2hprl2c_c	"3,4-Dihydro-2H-Pyrrole-2-carboxylate"
MET M_34dhb_c	"Protocatechuate"
MET M_34dhmald_c	"3,4-Dihydroxymandelaldehyde"
MET M_34dhoxpeg_c	"3,4-Dihydroxyphenylethyleneglycol"
MET M_34dhpha_c	"(3,4-dihydroxyphenyl)acetate"
MET M_34dhpha_e	"(3,4-dihydroxyphenyl)acetate"
MET M_34dhpha_p	"(3,4-dihydroxyphenyl)acetate"
MET M_34dhphe_c	"L-dopa"
MET M_34dhtm3c_c	"3,4-Dehydrothiomorpholine-3-carboxylate"
MET M_34hpp_c	"3-(4-hydroxyphenyl)pyruvate"
MET M_35cgmp_c	"3,5-cyclic GMP(1-)"
MET M_35cntd_c	"3,5-Cyclic nucleotide"
MET M_35dchlctcl_c	"3,5-Dichlorocatechol"
MET M_3a2opp_c	"3-Amino-2-oxopropyl phosphate"
MET M_3abutcoa_c	"L-3-Aminobutyryl-CoA"
MET M_3aib_c	"(S)-3-aminoisobutyric acid"
MET M_3aib_D_c	"D-3-Amino-isobutanoate"
MET M_3c2hmp_c	"3-Carboxy-2-hydroxy-4-methylpentanoate"
MET M_3c3hmp_c	"3-Carboxy-3-hydroxy-4-methylpentanoate"
MET M_3c4mop_c	"3-Carboxy-4-methyl-2-oxopentanoate"
MET M_3chmucnt_c	"3-Chloro-cis,cis-muconate"
MET M_3clctcl_c	"3-Chlorocatechol"
MET M_3cmuc_c	"3-Carboxy-cis,cis-muconate"
MET M_3ddgc_c	"3-Dehydro-2-deoxy-D-gluconate"
MET M_3dhcrntn_c	"3-Dehydrocarnitine"
